,name,iata_code,iso_country,latitude,longitude
0,Utirik Airport,UTK,MH,11.222,169.852005
1,Ocean Reef Club Airport,OCA,US,25.325399398804,-80.274803161621
2,Pilot Station Airport,PQS,US,61.934601,-162.899994
3,Crested Butte Airpark,CSE,US,38.851918,-106.928341
4,LBJ Ranch Airport,JCY,US,30.251800537100003,-98.6224975586
5,Nunapitchuk Airport,NUP,US,60.905591,-162.440454
6,Icy Bay Airport,ICY,US,59.966269,-141.660118
7,Kalakaket Creek AS Airport,KKK,US,64.4166256967,-156.820392609
8,Dunsmuir Muni-Mott Airport,MHS,US,41.263199,-122.272003
9,Chase Field Industrial Airport,NIR,US,28.362444,-97.661917
10,Grand Canyon Bar Ten Airstrip,GCT,US,36.258614,-113.231159
11,Lime Village Airport,LVD,US,61.3591003418,-155.440002441
12,Hog River Airport,HGZ,US,66.2161026,-155.6690063
13,Ed-Air Airport,OTN,US,38.851782,-87.49987
14,Telida Airport,TLF,US,63.393901824951,-153.26899719238
15,Eagle Air Park,BZT,US,28.982200622559,-95.579696655273
16,Blakely Island Airport,BYW,US,48.578998565700005,-122.825996399
17,Drift River Airport,DRF,US,60.5889015198,-152.162002563
18,Rinkenberger Restricted Landing Area,BDF,US,41.2308998108,-89.61569976810001
19,Roy Otten Memorial Airfield,VRS,US,38.427799224854,-92.875198364258
20,Atmautluak Airport,ATT,US,60.866699,-162.272996
21,Livengood Camp Airport,LIV,US,65.467,-148.6534
22,Pedro Bay Airport,PDB,US,59.7896003723,-154.12399292
23,Ouzinkie Airport,KOZ,US,57.942094,-152.464314
24,Tununak Airport,TNK,US,60.575500488281,-165.27200317383
25,Minto Al Wright Airport,MNT,US,65.1437,-149.369995
26,Aleknagik / New Airport,WKK,US,59.2826004028,-158.617996216
27,Naknek Airport,NNK,US,58.735633,-157.02216
28,Southern Seaplane Airport,BCS,US,29.866078,-90.021608
29,Earl Henry Airport,BWL,US,36.7958984375,-97.3170013428
30,Center Island Airport,CWS,US,48.4901008606,-122.832000732
31,Tatitlek Airport,TEK,US,60.871449,-146.690297
32,Pine Island Airport,DUF,US,36.2535018921,-75.7884979248
33,Stuart Island Airpark,SSW,US,48.673379,-123.175439
34,Fort Bragg Airport,FOB,US,39.4743003845,-123.79599762
35,Maxson Airfield,AXB,US,44.312002,-75.90034
36,Reese Airpark,REE,US,33.590301513672,-102.03700256348
37,Waldron Airstrip,WDN,US,48.7118,-123.017998
38,Chuathbaluk Airport,CHU,US,61.579102,-159.216003
39,Ugashik Airport,UGS,US,57.523476,-157.396344
40,Levelock Airport,KLL,US,59.12606,-156.860906
41,Tuntutuliak Airport,WTL,US,60.3353004456,-162.667007446
42,Twin Hills Airport,TWA,US,59.07559967041,-160.27299499512
43,Chignik Lake Airport,KCQ,US,56.2550010681,-158.774993896
44,Adado Airport,AAD,SO,6.095802,46.6375
45,Atkamba Airport,ABP,PG,-6.06462,141.095173
46,Arica Airport,ACM,CO,-2.144851,-71.758389
47,Andakombe Airport,ADC,PG,-7.13722222222,145.744722222
48,El Daein Airport,ADV,SD,11.4023,26.1186
49,Adareil Airport,AEE,SS,10.053611,32.959444
50,Aseki Airport,AEK,PG,-7.35080485552,146.19386673
51,Ar Horqin Airport,AEQ,CN,43.87042,120.15958
52,Khost International Airport,KHT,AF,33.284605,69.80734
53,Orūzgān Airport,URZ,AF,32.9029998779,66.630897522
54,Salerno Airport,OLR,AF,33.3638,69.9561
55,Afore Airstrip,AFR,PG,-9.14222222222,148.390833333
56,Afutara Aerodrome,AFT,SB,-9.19138888889,160.948611111
57,Ulawa Airport,RNA,SB,-9.86054358262,161.979546547
58,Uru Harbour Airport,ATD,SB,-8.87333,161.011002
59,Barakoma Airport,VEV,SB,-7.912779808044434,156.70599365234375
60,Geva Airport,GEF,SB,-7.575829982757568,156.5970001220703
61,Angoram Airport,AGG,PG,-4.05583333333,144.073888889
62,Gwaunaru'u Airport,AKS,SB,-8.70257,160.682007
63,Bellona/Anua Airport,BNY,SB,-11.3022222222,159.798333333
64,Choiseul Bay Airport,CHY,SB,-6.711944,156.396111
65,Ballalae Airport,BAS,SB,-6.990745,155.886656
66,Fera/Maringe Airport,FRE,SB,-8.1075,159.576996
67,Honiara International Airport,HIR,SB,-9.428,160.054993
68,Babanakira Airport,MBU,SB,-9.7475004196167,159.83900451660156
69,Avu Avu Airport,AVU,SB,-9.86833333333,160.410555556
70,Ngorangora Airport,IRA,SB,-10.4497003555,161.897994995
71,Santa Cruz/Graciosa Bay/Luova Airport,SCZ,SB,-10.72029972076416,165.7949981689453
72,Munda Airport,MUA,SB,-8.32797,157.263
73,Nusatupe Airport,GZO,SB,-8.09778022766,156.863998413
74,Mono Airport,MNY,SB,-7.416940212249756,155.56500244140625
75,Parasi Airport,PRS,SB,-9.64167022705078,161.4250030517578
76,Rennell/Tingoa Airport,RNL,SB,-11.533900260925291,160.06300354003906
77,Sege Airport,EGM,SB,-8.578889846801758,157.87600708007812
78,Santa Ana Airport,NNB,SB,-10.847994,162.454108
79,Marau Airport,RUS,SB,-9.86166954041,160.824996948
80,Suavanao Airport,VAO,SB,-7.585559844970703,158.7310028076172
81,Yandina Airport,XYA,SB,-9.092816,159.21841
82,Kagua Airport,AGK,PG,-6.396388888890001,143.853611111
83,Kaghau Airport,KGE,SB,-7.3305,157.585
84,Kukudu Airport,KUE,SB,-8.0262,156.94783
85,Kwailabesi Airport,KWS,SB,-8.360508,160.775127
